Project Name,Issue URL,PR URL,Line Change,Fix duration (days),Category,ML category
atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack/issues/165,https://github.com/atomistic-machine-learning/schnetpack/pull/216,4,380,ml,6
catalyst-team/catalyst,https://github.com/catalyst-team/catalyst/issues/130,https://github.com/catalyst-team/catalyst/pull/182,631,55,ml,5
sktime/sktime,https://github.com/sktime/sktime/issues/2444,https://github.com/sktime/sktime/pull/2609,32,0,ml,5
sktime/sktime,https://github.com/sktime/sktime/issues/1290,https://github.com/sktime/sktime/pull/1232,2623,344,ml,3
sktime/sktime,https://github.com/sktime/sktime/issues/1678,https://github.com/sktime/sktime/pull/1944,23,238,ml,6
sktime/sktime,https://github.com/sktime/sktime/issues/3192,https://github.com/sktime/sktime/pull/3232,266,20,ml,2
sktime/sktime,https://github.com/sktime/sktime/issues/1746,https://github.com/sktime/sktime/pull/2100,398,102,ml,2
sktime/sktime,https://github.com/sktime/sktime/issues/2799,https://github.com/sktime/sktime/pull/2855,506,77,ml,2
sktime/sktime,https://github.com/sktime/sktime/issues/2849,https://github.com/sktime/sktime/pull/2850,30,35,ml,6
sktime/sktime,https://github.com/sktime/sktime/issues/4067,https://github.com/sktime/sktime/pull/4075,104,6,ml,2
sktime/sktime,https://github.com/sktime/sktime/issues/1079,https://github.com/sktime/sktime/pull/2609,32,327,ml,5
sktime/sktime,https://github.com/sktime/sktime/issues/2696,https://github.com/sktime/sktime/pull/2382,279,5,ml,6
sktime/sktime,https://github.com/sktime/sktime/issues/2511,https://github.com/sktime/sktime/pull/2512,22,6,ml,2
sktime/sktime,https://github.com/sktime/sktime/issues/3009,https://github.com/sktime/sktime/pull/3129,30,16,ml,6
sktime/sktime,https://github.com/sktime/sktime/issues/2233,https://github.com/sktime/sktime/pull/2234,825,70,ml,6
sktime/sktime,https://github.com/sktime/sktime/issues/3474,https://github.com/sktime/sktime/pull/3481,539,8,ml,2
sktime/sktime,https://github.com/sktime/sktime/issues/1687,https://github.com/sktime/sktime/pull/1874,325,111,ml,6
sktime/sktime,https://github.com/sktime/sktime/issues/3907,https://github.com/sktime/sktime/pull/3915,191,11,ml,5
sktime/sktime,https://github.com/sktime/sktime/issues/2968,https://github.com/sktime/sktime/pull/2970,32,3,ml,3
sktime/sktime,https://github.com/sktime/sktime/issues/3816,https://github.com/sktime/sktime/pull/3820,103,12,ml,4
sktime/sktime,https://github.com/sktime/sktime/issues/1364,https://github.com/sktime/sktime/pull/2458,168,241,ml,6
sktime/sktime,https://github.com/sktime/sktime/issues/3748,https://github.com/sktime/sktime/pull/3760,27,8,ml,5
sktime/sktime,https://github.com/sktime/sktime/issues/3159,https://github.com/sktime/sktime/pull/3167,31,2,ml,3
sktime/sktime,https://github.com/sktime/sktime/issues/2573,https://github.com/sktime/sktime/pull/3010,98,84,ml,6
sktime/sktime,https://github.com/sktime/sktime/issues/2247,https://github.com/sktime/sktime/pull/2248,406,107,ml,6
sktime/sktime,https://github.com/sktime/sktime/issues/3315,https://github.com/sktime/sktime/pull/3340,4,5,ml,6
sktime/sktime,https://github.com/sktime/sktime/issues/2441,https://github.com/sktime/sktime/pull/2454,474,3,ml,2
sktime/sktime,https://github.com/sktime/sktime/issues/3084,https://github.com/sktime/sktime/pull/3085,39,9,ml,3
sktime/sktime,https://github.com/sktime/sktime/issues/2935,https://github.com/sktime/sktime/pull/2991,83,34,ml,6
sktime/sktime,https://github.com/sktime/sktime/issues/3191,https://github.com/sktime/sktime/pull/3233,262,47,ml,6
sktime/sktime,https://github.com/sktime/sktime/issues/3153,https://github.com/sktime/sktime/pull/3171,484,142,ml,6
sktime/sktime,https://github.com/sktime/sktime/issues/2386,https://github.com/sktime/sktime/pull/2418,21,5,ml,6
sktime/sktime,https://github.com/sktime/sktime/issues/3169,https://github.com/sktime/sktime/pull/3231,103,16,ml,3
sktime/sktime,https://github.com/sktime/sktime/issues/3372,https://github.com/sktime/sktime/pull/3386,556,31,ml,6
intel/dffml,https://github.com/intel/dffml/issues/254,https://github.com/intel/dffml/pull/268,133,296,ml,6
intel/dffml,https://github.com/intel/dffml/issues/537,https://github.com/intel/dffml/pull/634,238,38,ml,5
intel/dffml,https://github.com/intel/dffml/issues/316,https://github.com/intel/dffml/pull/340,54,10,ml,6
intel/dffml,https://github.com/intel/dffml/issues/1181,https://github.com/intel/dffml/pull/1226,1877,51,ml,4
intel/dffml,https://github.com/intel/dffml/issues/435,https://github.com/intel/dffml/pull/634,238,75,ml,6
autonomio/talos,https://github.com/autonomio/talos/issues/106,https://github.com/autonomio/talos/pull/109,328,15,ml,2
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/573,https://github.com/pyro-ppl/funsor/pull/589,239,156,ml,3
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/70,https://github.com/pyro-ppl/funsor/pull/161,147,695,ml,6
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/19,https://github.com/pyro-ppl/funsor/pull/36,62,4,ml,6
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/9,https://github.com/pyro-ppl/funsor/pull/47,27,17,ml,4
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/637,https://github.com/kymatio/kymatio/pull/670,15,90,ml,2
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/461,https://github.com/kymatio/kymatio/pull/459,563,909,ml,3
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/374,https://github.com/kymatio/kymatio/pull/380,84,63,ml,6
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/568,https://github.com/kymatio/kymatio/pull/578,19,3,ml,6
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/801,https://github.com/kymatio/kymatio/pull/888,88,83,ml,5
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/522,https://github.com/kymatio/kymatio/pull/527,54,0,ml,3
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/451,https://github.com/kymatio/kymatio/pull/449,2595,1,ml,3
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/902,https://github.com/kymatio/kymatio/pull/919,178,38,ml,6
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/542,https://github.com/kymatio/kymatio/pull/576,16,25,ml,3
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/811,https://github.com/kymatio/kymatio/pull/889,12,34,ml,3
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/775,https://github.com/kymatio/kymatio/pull/883,74,288,ml,5
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/868,https://github.com/kymatio/kymatio/pull/890,28,6,ml,5
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/418,https://github.com/kymatio/kymatio/pull/534,376,173,ml,3
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/663,https://github.com/kymatio/kymatio/pull/667,10,496,ml,4
