Name,URL,Created_at,Star,Last commit
timbmg/VAE-CVAE-MNIST,https://github.com/timbmg/VAE-CVAE-MNIST,2018-02-26T12:54:18Z,412,2022-06-22T11:25:41Z
iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,2018-06-04T13:10:00Z,36452,2022-12-31T08:42:33Z
cmhungsteve/TA3N,https://github.com/cmhungsteve/TA3N,2019-05-28T01:56:42Z,242,2022-12-08T05:35:21Z
mesutpiskin/id-card-detector,https://github.com/mesutpiskin/id-card-detector,2019-04-12T08:52:37Z,221,2022-11-22T05:13:09Z
salesforce/glad,https://github.com/salesforce/glad,2018-06-11T23:51:18Z,185,2022-02-12T14:34:52Z
google-research/language,https://github.com/google-research/language,2018-10-16T00:58:14Z,1347,2022-12-16T20:03:08Z
rgeirhos/Stylized-ImageNet,https://github.com/rgeirhos/Stylized-ImageNet,2018-11-05T13:00:15Z,446,2022-11-23T01:16:12Z
hsokooti/RegNet,https://github.com/hsokooti/RegNet,2018-01-07T17:52:19Z,175,2021-03-17T22:51:34Z
junqiangchen/LiTS---Liver-Tumor-Segmentation-Challenge,https://github.com/junqiangchen/LiTS---Liver-Tumor-Segmentation-Challenge,2018-12-06T03:04:16Z,197,2021-08-27T11:51:19Z
BeamNG/BeamNGpy,https://github.com/BeamNG/BeamNGpy,2018-06-28T11:35:18Z,158,2022-12-27T22:53:00Z
YoongiKim/AutoCrawler,https://github.com/YoongiKim/AutoCrawler,2018-11-21T16:01:14Z,1328,2022-07-25T09:24:06Z
okankop/vidaug,https://github.com/okankop/vidaug,2018-06-11T17:32:27Z,315,2021-10-05T18:45:16Z
IDKiro/CBDNet-pytorch,https://github.com/IDKiro/CBDNet-pytorch,2019-05-24T09:16:24Z,135,2021-08-11T10:57:18Z
theislab/scgen,https://github.com/theislab/scgen,2018-11-28T17:59:06Z,180,2022-04-25T17:04:48Z
onnx/onnxmltools,https://github.com/onnx/onnxmltools,2018-02-16T20:37:33Z,716,2022-12-15T16:58:15Z
ml-tooling/ml-workspace,https://github.com/ml-tooling/ml-workspace,2019-05-27T16:55:15Z,2876,2022-12-25T14:22:01Z
NVIDIA/Dataset_Utilities,https://github.com/NVIDIA/Dataset_Utilities,2018-07-12T21:57:42Z,119,2021-05-25T05:52:03Z
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning,2018-09-07T17:20:42Z,123,2023-01-05T21:47:11Z
blmoistawinde/HarvestText,https://github.com/blmoistawinde/HarvestText,2018-11-19T07:44:45Z,1788,2022-07-02T01:30:48Z
sthanhng/yoloface,https://github.com/sthanhng/yoloface,2018-10-12T04:27:23Z,411,2022-06-23T10:51:32Z
zhou13/lcnn,https://github.com/zhou13/lcnn,2019-05-08T07:03:02Z,390,2022-05-10T06:44:05Z
quark0/darts,https://github.com/quark0/darts,2018-06-25T05:27:29Z,3680,2021-01-03T02:21:40Z
timkpaine/paperboy,https://github.com/timkpaine/paperboy,2018-10-12T15:37:49Z,238,2022-02-09T18:44:53Z
benedekrozemberczki/graph2vec,https://github.com/benedekrozemberczki/graph2vec,2018-07-10T11:04:51Z,798,2022-11-06T21:15:35Z
GMvandeVen/continual-learning,https://github.com/GMvandeVen/continual-learning,2018-09-26T19:32:16Z,1041,2022-12-22T12:08:34Z
v-mipeng/LexiconNER,https://github.com/v-mipeng/LexiconNER,2019-05-23T14:09:25Z,150,2022-07-26T12:51:02Z
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet,2018-02-09T19:42:37Z,1184,2022-12-23T16:20:25Z
ildoonet/pytorch-gradual-warmup-lr,https://github.com/ildoonet/pytorch-gradual-warmup-lr,2019-01-16T05:46:13Z,875,2021-07-15T19:41:42Z
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut,2018-03-26T22:29:12Z,3437,2023-01-03T09:34:19Z
johri002/Automatic-leaf-infection-identifier,https://github.com/johri002/Automatic-leaf-infection-identifier,2018-11-26T06:17:06Z,148,2022-06-21T21:37:53Z
SeanLee97/xmnlp,https://github.com/SeanLee97/xmnlp,2018-02-04T01:48:44Z,962,2022-11-12T03:29:39Z
jasonrig/address-net,https://github.com/jasonrig/address-net,2018-12-05T02:04:53Z,171,2022-08-27T05:54:10Z
sacmehta/ESPNetv2,https://github.com/sacmehta/ESPNetv2,2018-11-20T17:21:15Z,416,2021-01-29T00:27:38Z
guotong1988/BERT-GPU,https://github.com/guotong1988/BERT-GPU,2018-12-25T07:45:36Z,163,2021-06-21T02:05:35Z
catalyst-team/catalyst,https://github.com/catalyst-team/catalyst,2018-08-20T07:56:13Z,3056,2022-10-05T23:42:09Z
Stick-To/Object-Detection-Tensorflow,https://github.com/Stick-To/Object-Detection-Tensorflow,2019-05-16T13:02:45Z,275,2021-05-02T08:22:25Z
sniklaus/pytorch-hed,https://github.com/sniklaus/pytorch-hed,2018-09-26T22:56:45Z,374,2022-11-07T16:59:34Z
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms,2018-12-10T01:40:01Z,465,2022-12-27T15:35:16Z
CharlesPikachu/AIGames,https://github.com/CharlesPikachu/AIGames,2018-08-18T13:45:18Z,525,2022-11-21T21:40:28Z
WenjieZ/TSCV,https://github.com/WenjieZ/TSCV,2019-05-14T09:10:38Z,221,2022-02-11T12:19:53Z
MillionIntegrals/vel,https://github.com/MillionIntegrals/vel,2018-05-09T20:16:48Z,272,2022-12-08T04:50:05Z
runwayml/model-sdk,https://github.com/runwayml/model-sdk,2018-11-09T01:54:34Z,101,2022-03-28T15:15:07Z
yeyupiaoling/LearnPaddle,https://github.com/yeyupiaoling/LearnPaddle,2018-01-21T04:11:08Z,350,2021-03-09T08:31:24Z
epic-kitchens/epic-kitchens-55-annotations,https://github.com/epic-kitchens/epic-kitchens-55-annotations,2018-03-22T11:14:03Z,138,2021-03-17T13:01:03Z
GavinHacker/recsys_core,https://github.com/GavinHacker/recsys_core,2019-01-30T08:55:58Z,290,2021-12-30T09:11:13Z
foamliu/Car-Recognition,https://github.com/foamliu/Car-Recognition,2018-04-28T07:36:40Z,315,2022-10-30T19:17:49Z
labmlai/labml,https://github.com/labmlai/labml,2018-11-16T09:34:48Z,1262,2022-12-27T16:52:48Z
